epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.7941,0.84705,6.08649,0.41236,2.21606,1.36057,0.75649,0.82054,0.87011,0.69541,0.20538,0.17719,0.10869,0.01217,0.76023,5.81391,0.16725,1.12379,1.50247,0.000413625,0.000413625,0.000413625
2,65.3274,0.8566,5.48453,0.36821,1.12776,1.32598,0.75357,0.88333,0.93717,0.73829,0.2659,0.30853,0.23272,0.0394,0.79029,5.26329,0.04225,0.9268,1.57553,0.000826182,0.000826182,0.000826182
3,81.3722,0.89411,5.31861,0.35869,0.98211,1.35791,0.82641,0.91901,0.95787,0.76631,0.36994,0.31506,0.28328,0.05868,0.77321,5.21176,0.08147,0.84641,1.53375,0.00123461,0.00123461,0.00123461
4,97.209,0.86752,5.03685,0.34474,0.9159,1.33966,0.98827,0.99286,0.99473,0.80536,0.51677,0.51298,0.4479,0.10475,0.68095,4.54479,0.10763,0.54278,1.45389,0.00123144,0.00123144,0.00123144
5,113.25,0.85283,4.89326,0.33154,0.82336,1.32739,0.97355,0.98284,0.98518,0.82031,0.52774,0.50313,0.45131,0.13514,0.67385,4.54556,0.05142,0.59946,1.37491,0.00122525,0.00122525,0.00122525
6,129.126,0.80812,4.68264,0.32342,0.76702,1.29377,0.97854,1,0.995,0.83753,0.6088,0.5876,0.50544,0.15984,0.68837,4.37036,0.04877,0.45347,1.40256,0.00121906,0.00121906,0.00121906
7,145.309,0.7953,4.58696,0.31348,0.73034,1.2786,0.9761,0.97353,0.97532,0.83872,0.5665,0.5673,0.47152,0.16056,0.62652,4.32964,0.08088,0.45642,1.37377,0.00121287,0.00121287,0.00121287
8,161.284,0.77203,4.30866,0.29973,0.70469,1.25543,0.97884,1,0.9944,0.85257,0.6161,0.56274,0.48924,0.1798,0.61284,3.94392,0.07243,0.41545,1.32262,0.00120669,0.00120669,0.00120669
9,177.664,0.76788,4.30688,0.297,0.6833,1.26024,0.99307,1,0.995,0.84668,0.59351,0.59858,0.48015,0.13757,0.60698,4.11036,0.14881,0.42465,1.29667,0.0012005,0.0012005,0.0012005
10,193.832,0.74267,4.23562,0.29777,0.65028,1.24054,0.95999,0.99347,0.9944,0.84558,0.64781,0.66482,0.576,0.1797,0.59014,4.16355,0.0476,0.43027,1.28075,0.00119431,0.00119431,0.00119431
11,210.05,0.71524,4.09147,0.29455,0.65192,1.22268,0.97216,1,0.99192,0.86405,0.7213,0.73273,0.65034,0.23346,0.54045,3.61135,0.04238,0.41988,1.22166,0.00118812,0.00118812,0.00118812
12,226.17,0.72665,4.0287,0.28703,0.63909,1.2311,0.99445,1,0.995,0.88159,0.66469,0.66828,0.59418,0.23432,0.47674,3.71753,0.08938,0.38147,1.18749,0.00118194,0.00118194,0.00118194
13,241.924,0.70765,4.07703,0.28263,0.60365,1.21843,0.97539,0.98876,0.995,0.86824,0.63797,0.64864,0.58489,0.23673,0.57423,3.9069,0.07504,0.44845,1.27964,0.00117575,0.00117575,0.00117575
14,258.152,0.70327,3.95456,0.27786,0.59757,1.21699,0.99585,1,0.995,0.9061,0.62525,0.62364,0.58243,0.2412,0.49521,3.81255,0.04589,0.36313,1.19181,0.00116956,0.00116956,0.00116956
15,274.272,0.65813,3.90984,0.27567,0.57466,1.18451,0.99622,0.99011,0.995,0.89669,0.69213,0.68896,0.62296,0.26907,0.46362,3.48423,0.0277,0.33411,1.17916,0.00116337,0.00116337,0.00116337
16,290.403,0.6716,3.82836,0.27548,0.56766,1.19422,0.9926,0.98947,0.995,0.8996,0.69084,0.68704,0.6006,0.26754,0.41097,3.57226,0.03476,0.31562,1.14471,0.00115719,0.00115719,0.00115719
17,306.151,0.6617,3.68978,0.27226,0.55833,1.1845,0.99665,0.98957,0.995,0.86889,0.69703,0.69485,0.62933,0.23525,0.59259,3.69376,0.02025,0.37655,1.27032,0.001151,0.001151,0.001151
18,321.883,0.66582,3.64795,0.2647,0.55074,1.19171,0.97458,1,0.99192,0.89892,0.65699,0.66828,0.59684,0.23958,0.4675,4.00762,0.03799,0.34103,1.18052,0.00114481,0.00114481,0.00114481
19,338.041,0.64898,3.67105,0.26636,0.54191,1.17884,0.99034,1,0.995,0.91227,0.71085,0.70054,0.67676,0.31301,0.45832,3.44149,0.03533,0.33781,1.16256,0.00113863,0.00113863,0.00113863
20,353.933,0.64154,3.58643,0.26769,0.5389,1.17292,0.99548,1,0.995,0.89072,0.74813,0.75054,0.70914,0.32727,0.50415,3.32229,0.03977,0.33573,1.20334,0.00113244,0.00113244,0.00113244
21,369.838,0.64832,3.54611,0.25834,0.53957,1.17189,0.99019,0.99924,0.995,0.89727,0.67798,0.67191,0.59698,0.27335,0.47177,3.42144,0.03116,0.34218,1.15414,0.00112625,0.00112625,0.00112625
22,385.853,0.63,3.50925,0.26038,0.52186,1.16875,0.99006,0.9875,0.9944,0.90807,0.6677,0.66828,0.60489,0.27434,0.43842,3.55934,0.02841,0.34481,1.13697,0.00112006,0.00112006,0.00112006
23,401.913,0.61967,3.55329,0.26024,0.52627,1.16285,0.9853,1,0.995,0.91495,0.69279,0.70054,0.67507,0.32021,0.41296,3.52804,0.05347,0.31184,1.1037,0.00111388,0.00111388,0.00111388
24,418.035,0.62812,3.48826,0.25909,0.52573,1.16745,0.99581,1,0.995,0.92303,0.67007,0.67191,0.64359,0.30762,0.4126,3.50679,0.03868,0.2863,1.1138,0.00110769,0.00110769,0.00110769
25,434.211,0.62243,3.47421,0.25175,0.51482,1.1584,0.99282,0.9875,0.99083,0.91503,0.67812,0.67634,0.62035,0.29813,0.417,3.35514,0.02971,0.31606,1.10557,0.0011015,0.0011015,0.0011015
26,450.235,0.6229,3.53465,0.25475,0.51303,1.16807,0.99611,1,0.995,0.92513,0.70005,0.70134,0.67034,0.29336,0.46255,3.50567,0.03834,0.32079,1.13351,0.00109531,0.00109531,0.00109531
27,466.366,0.62195,3.43835,0.25069,0.50326,1.15974,0.99147,0.99967,0.995,0.92928,0.66726,0.66751,0.5854,0.29388,0.43027,3.38818,0.05547,0.30389,1.10562,0.00108913,0.00108913,0.00108913
28,482.358,0.6204,3.52603,0.25114,0.52314,1.16192,0.97584,1,0.995,0.93571,0.70315,0.71384,0.66989,0.28981,0.36702,3.42496,0.0345,0.2648,1.05298,0.00108294,0.00108294,0.00108294
29,498.388,0.60716,3.37132,0.24728,0.5066,1.15352,0.99133,0.9875,0.9944,0.91417,0.70725,0.70578,0.66754,0.31809,0.46823,3.40894,0.05638,0.35925,1.16091,0.00107675,0.00107675,0.00107675
